export_name,trade_name
algas,Algae
almejas,Clams
bacalado_profundo,Patagonian toothfish
caracol,Snails
centolla,King crab
culengues,Clams
erizo,Sea urchin
jaiba,Crabs
jurel,Jack mackerel
langostinos,Langostinos
loco,Loco
macha,Machas
mejillones,Mussels
merluza,Hake
navajas,Navaja de mar
navajuelas,Navajuela
ostion,Scallop
pez espada,Swordfish
reineta,Southern rays bream
salmon,Salmon
salmones,Salmon
sardinas,Sardines
trucha,Trout
abalones,Abalone
camaron,Shrimp
cojinobas,Warehou
langostas,Lobsters
ostras,Oyster
anguilas,Eel
congrio,Cusk-eel
gamba,Prawns
atun,Tuna
corvina,Corvina drum
pejerreyes,Chilean silverside
caballas,Mackerel
pepino,Sea cucumber
pulpo,Octopus
brotula,Tadpole codling
draco_rayado,Mackerel icefish
anchoas,Anchovy
anchoveta,Peruvian anchoveta
bagre,Black bullhead
mahi_mahi,Mahi Mahi
varios_pescados,Other fish
hirame,Herring
calamar,Squid
jibias,Squid
sarda,Skipjack tuna
lapa,Limpet
rayas,Rays
tumbaos,Clams
bacalao_jf,Hapuku wreckfish
tiburones,Shark
robalos,Patagonian blennie
alfonsino,Splendid alfonsino
besugo,Sea bream
esturiones,Sturgeon
fletanes,Atlantic halibut
lenguados,Flounders
medusas,Jellyfish
orange_roughy,Orange roughy
sargo,Peruvian grunt
turbot,Turbot
